LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,ASSET_RATING,ASSET_RATING_BAND,PROPERTY_TYPE,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,TRANSACTION_TYPE,NEW_BUILD_BENCHMARK,EXISTING_STOCK_BENCHMARK,BUILDING_LEVEL,MAIN_HEATING_FUEL,OTHER_FUEL_DESC,SPECIAL_ENERGY_USES,RENEWABLE_SOURCES,FLOOR_AREA,STANDARD_EMISSIONS,TARGET_EMISSIONS,TYPICAL_EMISSIONS,BUILDING_EMISSIONS,AIRCON_PRESENT,AIRCON_KW_RATING,ESTIMATED_AIRCON_KW_RATING,AC_INSPECTION_COMMISSIONED,BUILDING_ENVIRONMENT,ADDRESS,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL
71898540962012101810035831900540,,Just Jackets,176 Raby Road,TS24 8EJ,430742140000,75,C,A1/A2 Retail and Financial/Professional services,2012-10-15,E06000001,E14000733,,2012-10-18,Mandatory issue (Property to let).,27,73,3,Grid Supplied Electricity,,,,75,61.36,33.68,89.8,91.9,No,,,4,Heating and Natural Ventilation,"Just Jackets, 176 Raby Road",Hartlepool,Hartlepool
7304181952008122316172702900908,,Lonsdale Nursery,130 Grange Road,TS26 8JJ,986512500000,80,D,Primary school,2008-12-18,E06000001,E14000733,Hartlepool (B),2008-12-23,,35,66,3,Natural Gas,,,,269,,,,,,,,,Heating and Natural Ventilation,"Lonsdale Nursery, 130 Grange Road",Hartlepool,Hartlepool
73057599212012112118375502909242,,"69, York Road",,TS26 8AH,222992540000,161,G,A1/A2 Retail and Financial/Professional services,2012-11-21,E06000001,E14000733,,2012-11-21,Mandatory issue (Marketed sale).,30,81,3,Natural Gas,,,,143,43.51,26.34,70.25,140.35,No,,,4,Heating and Natural Ventilation,"69, York Road",Hartlepool,Hartlepool
73095700062018072414321979960780,,Unit 2,Hartlepool Workshops,TS25 1UB,879304910000,100,D,B1 Offices and Workshop businesses,2018-06-13,E06000001,E14000733,,2018-07-24,Mandatory issue (Property to let).,23,68,3,Other,,,,30,14.02,6.53,19.14,27.98,No,,,4,Unconditioned,"Unit 2, Hartlepool Workshops",Hartlepool,Hartlepool
73180903212012111910395301029104,WORKSHOP 4,Phillips House,Sandgate Industrial Estate,TS25 1UB,147931600002,126,F,B1 Offices and Workshop businesses,2012-09-20,E06000001,E14000733,,2012-11-19,Mandatory issue (Property to let).,35,92,3,Grid Supplied Electricity,,,,173,26.68,18.46,49.24,67.22,No,,,4,Heating and Natural Ventilation,"WORKSHOP 4, Phillips House, Sandgate Industrial Estate",Hartlepool,Hartlepool
7326300962008122215304166920360,,Unit A,Stranton Burn Road,TS25 1PL,669700680000,69,C,Retail,2008-12-17,E06000001,E14000733,,2008-12-22,,38,52,3,Natural Gas,,,,1075,,,,,,,,,Heating and Natural Ventilation,"Unit A, Stranton Burn Road",Hartlepool,Hartlepool
83255187032013082308361097000493,,"78, Church Street",,TS24 7DN,838745770000,53,C,A1/A2 Retail and Financial/Professional services,2013-08-21,E06000001,E14000733,,2013-08-23,Mandatory issue (Marketed sale).,27,73,3,Grid Supplied Electricity,,,,82,52.52,28.76,76.69,55.36,No,,,4,Heating and Natural Ventilation,"78, Church Street",Hartlepool,Hartlepool
83931136952013091919190709019156,MAIN OFFICE,S B V Engineering,Burn Road,TS25 1PL,168269550001,126,F,B1 Offices and Workshop businesses,2013-09-17,E06000001,E14000733,,2013-09-19,Mandatory issue (Marketed sale).,32,86,3,Natural Gas,,,,172,34.83,22.42,59.8,87.52,No,,,4,Heating and Natural Ventilation,"MAIN OFFICE, S B V Engineering, Burn Road",Hartlepool,Hartlepool
84223240022013092621000196910870,,141 Oxford Road,,TS25 5RJ,794744610000,73,C,A1/A2 Retail and Financial/Professional services,2013-09-18,E06000001,E14000733,,2013-09-26,Mandatory issue (Marketed sale).,27,72,3,Natural Gas,,,,104,73.93,39.65,105.74,108.32,No,,,4,Heating and Natural Ventilation,141 Oxford Road,Hartlepool,Hartlepool
90098970022014040216242937020340,,Unit 2,Spaces Business Park,TS25 1PU,435677750000,63,C,B1 Offices and Workshop businesses,2014-02-07,E06000001,E14000733,,2014-04-02,Mandatory issue (Property to let).,30,81,3,Natural Gas,,,,409,16.43,9.97,26.58,20.69,No,,,4,Heating and Natural Ventilation,"Unit 2, Spaces Business Park",Hartlepool,Hartlepool
71091190742012100808302104209000,,"210a, York Road",,TS26 9EB,971669200000,39,B,A1/A2 Retail and Financial/Professional services,2012-10-04,E06000001,E14000733,,2012-10-08,Mandatory issue (Property to let).,27,72,3,Natural Gas,,,,48,78.5,42.32,112.87,61.01,No,,,4,Heating and Natural Ventilation,"210a, York Road",Hartlepool,Hartlepool
82234730012013072411580606009540,,Ryans,"Unit 6 Market Hall, Middleton Grange Shopping Centre",TS24 7RX,504406340000,64,C,A1/A2 Retail and Financial/Professional services,2013-01-07,E06000001,E14000733,,2013-07-24,Mandatory issue (Non-marketed sale).,26,70,3,Grid Supplied Electricity,,,,925,74.48,39.3,104.8,95.49,No,,,4,Air Conditioning,"Ryans, Unit 6 Market Hall, Middleton Grange Shopping Centre",Hartlepool,Hartlepool
82240850062013072412283846090360,,River Island Clothing Co,189 Middleton Grange Shopping Centre,TS24 7RR,649752660000,65,C,A1/A2 Retail and Financial/Professional services,2013-01-07,E06000001,E14000733,,2013-07-24,Mandatory issue (Non-marketed sale).,29,79,3,Natural Gas,,,,722,53.23,31.36,83.63,69.36,No,,,4,Air Conditioning,"River Island Clothing Co, 189 Middleton Grange Shopping Centre",Hartlepool,Hartlepool
82290277032013072412040039000891,,Dawson & Sanderson Ltd,18 Middleton Grange Shopping Centre,TS24 7RS,718989860000,92,D,A1/A2 Retail and Financial/Professional services,2013-01-07,E06000001,E14000733,,2013-07-24,Mandatory issue (Non-marketed sale).,32,86,3,Grid Supplied Electricity,,,,97,54.03,34.91,93.09,99.46,No,,,4,Heating and Natural Ventilation,"Dawson & Sanderson Ltd, 18 Middleton Grange Shopping Centre",Hartlepool,Hartlepool
82303660022018090313140892980080,,Card Factory,"Unit B, Middleton Grange Shopping Centre",TS24 7RR,893163230000,105,E,A1/A2 Retail and Financial/Professional services,2018-08-10,E06000001,E14000733,,2018-09-03,Mandatory issue (Property to let).,33,95,3,Grid Supplied Electricity,,,,203,54.15,35.28,103.38,113.29,No,,,4,Heating and Natural Ventilation,"Card Factory, Unit B, Middleton Grange Shopping Centre",Hartlepool,Hartlepool
